,english,francais
160,applications,applications
161,off,de
162,available,disponible
163,york,york
164,how,comment
165,prices,prix
166,take,prendre
167,him,lui
168,american,américain
169,using,aide
170,must,moût
171,part,partie
172,back,arrière
173,expected,attendu
174,good,bon
175,stock,stock
176,and,et
177,high,élevé
178,another,autre
179,several,plusieurs
180,months,mois
181,end,fin
182,report,rapport
183,ibm,ibm
184,product,produit
185,industry,industrie
186,own,propre
187,four,quatre
188,major,majeur
189,need,besoin
190,power,puissance
191,management,gestion
192,control,contrôle
193,did,fait
194,less,moins
195,rate,taux
196,file,fichier
197,called,appelé
198,united,uni
199,as,comme
200,soviet,soviétique
201,there,là
202,second,deuxième
203,without,sans
204,want,vouloir
205,day,jour
206,found,trouvé
207,month,mois
208,reported,rapporté
209,see,voir
210,development,développement
211,cent,cent
212,public,public
213,co,co
214,money,argent
215,case,cas
216,interest,intérêt
217,programs,programmes
218,trading,commerce
219,based,basé
220,five,cinq
221,cost,coût
222,days,journées
223,large,grand
224,problems,problèmes
225,too,trop
226,service,service
227,line,ligne
228,user,utilisateur
229,federal,fédéral
230,few,peu
231,at,à
232,include,inclure
233,told,dit
234,does,t
235,going,aller
236,plan,plan
237,c,c
238,technology,technologie
239,increase,augmenter
240,performance,performance
241,go,aller
242,provide,fournir
243,might,puissance
244,results,résultats
245,offer,offre
246,least,moins
247,run,course
248,small,petit
249,current,courant
250,windows,fenêtres
251,bush,buisson
252,national,national
253,police,police
254,different,différent
255,quarter,trimestre
256,my,ma
257,memory,mémoire
258,according,selon
259,plans,plans
260,long,longue
261,around,autour
262,version,version
263,disk,disque
264,rose,rose
265,friday,vendredi
266,early,tôt
267,problem,problème
268,think,penser
269,president,président
270,process,processus
271,one,une
272,services,services
273,costs,frais
274,oil,huile
275,home,maison
276,area,zone
277,higher,supérieur
278,mr,m
279,former,ancien
280,monday,lundi
281,however,cependant
282,among,entre
283,board,conseil
284,already,déjà
285,announced,annoncé
286,standard,standard
287,issue,question
288,rates,taux
289,tuesday,mardi
290,application,application
291,within,dans
292,little,peu
293,economic,économique
294,when,quand
295,members,membres
296,office,bureau
297,files,fichiers
298,recent,récent
299,states,unis
300,wednesday,mercredi
301,better,mieux
302,west,ouest
303,past,passé
304,on,sur
305,show,spectacle
306,come,venir
307,chief,chef
308,whether,si
309,that,que
310,pay,payer
311,change,changement
312,know,savoir
313,unit,unité
314,six,six
315,put,mettre
316,agreement,accord
317,cents,cents
318,some,certains
319,example,exemple
320,department,département
321,thursday,jeudi
322,pounds,livres
323,hard,dur
324,added,ajoutée
325,house,maison
326,local,local
327,law,droit
328,world,monde
329,right,droit
330,production,production
331,you,vous
332,value,valeur
333,order,ordre
334,trade,commerce
335,financial,financier
336,possible,possible
337,far,loin
338,access,accès
339,design,conception
340,point,point
341,however,cependant
342,political,politique
343,become,devenir
344,features,caractéristiques
345,fell,abattre
346,late,tard
347,news,nouvelles
348,san,san
349,important,important
350,systems,systèmes
351,move,mouvement
352,director,directeur
353,military,militaire
354,total,total
355,court,tribunal
356,here,ici
357,foreign,étranger
358,washington,washington
359,n,n
360,operations,opérations
361,future,avenir
362,best,meilleur
363,average,moyenne
364,growth,croissance
365,tax,impôt
366,lower,inférieur
367,meeting,réunion
368,left,gauche
369,drive,drive
370,issues,questions
371,give,donner
372,us,nous
373,country,pays
374,official,officiel
375,big,grand
376,executive,exécutif
377,level,niveau
378,general,général
379,investment,investissement
380,john,jean
381,an,une
382,came,venu
383,chairman,président
384,find,trouver
385,me,moi
386,close,près
387,june,juin
388,range,gamme
389,given,donné
390,interface,interface
391,these,ces
392,bank,banque
393,buy,acheter
394,to,À
395,japanese,japonais
396,real,réel
397,place,lieu
398,bank,banque
399,making,fabrication
400,includes,comprend
401,result,résultat
402,firm,entreprise
403,with,avec
404,model,modèle
405,reports,rapports
406,half,moitié
407,every,chaque
408,points,points
409,march,mars
410,never,jamais
411,enough,assez
412,provides,fournit
413,yesterday,hier
414,times,fois
415,addition,addition
416,no,aucun
417,life,vie
418,common,commun
419,changes,changements
420,dos,dos
421,further,plus
422,top,haut
423,decision,décision
424,compared,comparé
425,likely,probable
426,due,dû
427,period,période
428,open,ouvert
429,markets,marchés
430,call,appel
431,capital,capital
432,name,nom
433,national,national
434,closed,fermé
435,recently,récemment
436,proposed,proposé
437,single,unique
438,able,capable
439,lot,lot
440,sold,vendu
441,south,sud
442,package,paquet
443,test,test
444,customers,clientèle
445,british,britannique
446,cut,coupe
447,sell,vendre
448,international,international
449,full,plein
450,running,fonctionnement
451,equipment,équipement
452,computers,ordinateurs
453,index,index
454,congress,congrès
455,contract,contrat
456,paper,papier
457,workers,ouvriers
458,vice,vice
459,study,étude
460,others,autres
461,system,système
462,research,recherche
463,low,faible
464,makes,marques
465,federal,fédéral
466,city,ville
467,may,mai
468,got,obtenu
469,family,famille
470,policy,politique
471,investors,investisseurs
472,record,record
473,loss,perte
474,received,reçu
475,april,avril
476,exchange,Échange
477,code,code
478,graphics,graphique
479,agency,agence
480,increased,augmenté
481,manager,directeur
482,keep,garder
483,look,regarder
484,often,souvent
485,designed,conçu
486,european,européen
487,earnings,bénéfices
488,environment,environnement
489,july,juillet
490,job,emploi
491,third,troisième
492,water,eau
493,net,net
494,banks,banques
495,analysts,analystes
496,strong,fort
497,party,partie
498,economy,économie
499,away,loin
500,dollar,dollar
501,taken,pris
502,developed,développé
503,continue,continuer
504,allow,permettre
505,microsoft,microsoft
506,key,clé
507,security,sécurité
508,project,projet
509,agreed,convenu
510,japan,japon
511,rather,plutôt
512,countries,pays
513,plant,usine
514,apple,pomme
515,action,action
516,after,après
517,screen,écran
518,war,guerre
519,processing,traitement
520,employees,employés
521,included,inclus
522,asked,demandé
523,special,spécial
524,field,domaine
525,energy,énergie
526,old,vieux
527,deal,affaire
528,offers,offres
529,nearly,presque
530,weeks,semaines
531,debt,dette
532,she,elle
533,charges,frais
534,union,union
535,needs,besoins
536,effect,effet
537,income,revenu
538,uses,utilisations
539,computer,ordinateur
540,east,est
541,similar,similaire
542,europe,europe
543,create,créer
544,form,forme
545,main,principal
546,free,gratuit
547,return,retour
548,machine,machine
549,hours,heures
550,yet,encore
551,text,texte
552,almost,presque
553,all,tous
554,man,homme
555,required,requis
556,hardware,matériel
557,private,privé
558,allows,permet
559,killed,assassiné
560,international,international
561,known,connu
562,things,choses
563,base,base
564,bonds,obligations
565,groups,groupes
566,list,liste
567,mac,mac
568,done,fini
569,means,moyens
570,additional,supplémentaire
571,gas,gaz
572,areas,domaines
573,trying,essayer
574,force,force
575,funds,fonds
576,lost,perdu
577,server,serveur
578,texas,texas
579,os,os
580,city,ville
581,calls,appels
582,space,espace
583,annual,annuel
584,color,couleur
585,sunday,dimanche
586,networks,réseaux
587,believe,croire
588,size,taille
589,administration,administration
590,states,États
591,functions,fonctions
592,release,libération
593,corporate,entreprise
594,t,t
595,needed,nécessaire
596,miles,miles
597,london,londres
598,comment,commentaire
599,building,bâtiment
600,comes,vient
601,demand,demande
602,stocks,réserves
603,start,début
604,really,vraiment
605,general,général
606,cash,espèces
607,campaign,campagne
608,head,tête
609,children,enfants
610,lan,lan
611,probably,probablement
612,marketing,commercialisation
613,night,nuit
614,lines,lignes
615,saying,disant
616,profit,bénéfice
617,series,série
618,state,État
619,potential,potentiel
620,tools,outils
621,type,type
622,amount,montant
623,final,finale
624,sale,vente
625,university,université
626,drug,drogue
627,machines,machines
628,north,nord
629,budget,budget
630,analysis,analyse
631,cases,cas
632,california,californie
633,car,voiture
634,following,suivant
635,ended,terminé
636,whose,dont
637,leaders,dirigeants
638,vendors,vendeurs
639,most,plus
640,statement,déclaration
641,ii,ii
642,certain,certain
643,operation,opération
644,concern,préoccupation
645,function,fonction
646,fact,fait
647,fall,tomber
648,air,air
649,released,libéré
650,german,allemand
651,exchange,échange
652,j,j
653,personal,personnel
654,telephone,téléphone
655,school,école
656,position,position
657,previous,précédent
658,bid,offre
659,stock,stock
660,outside,extérieur
661,group,groupe
662,rights,droits
663,levels,niveaux
664,so,si
665,macintosh,macintosh
666,involved,impliqué
667,always,toujours
668,display,exposition
669,source,source
670,method,méthode
671,leader,leader
672,language,langue
673,talks,pourparlers
674,terms,termes
675,quality,qualité
676,senate,sénat
677,many,beaucoup
678,communications,communications
679,officer,officier
680,estimated,estimée
681,unix,unix
682,d,ré
683,led,led
684,charge,charger
685,black,noir
686,germany,allemagne
687,software,logiciel
688,senior,supérieur
689,reached,atteint
690,together,ensemble
691,eight,huit
692,selling,vente
693,rise,augmenter
694,america,amérique
695,difficult,difficile
696,great,grand
697,standards,normes
698,printer,imprimeur
699,having,ayant
700,by,par
701,seen,vu
702,various,divers
703,speed,vitesse
704,considered,considéré
705,first,première
706,declined,diminué
707,latest,dernier
708,central,central
709,calif,californie
710,nuclear,nucléaire
711,currently,actuellement
712,vote,vote
713,existing,existant
714,above,dessus
715,yen,yen
716,his,son
717,commercial,commercial
718,clear,clair
719,students,étudiants
720,court,tribunal
721,service,service
722,revenue,revenu
723,saturday,samedi
724,pressure,pression
725,effort,effort
726,taking,prise
727,present,présent
728,meet,rencontrer
729,conditions,conditions
730,approach,approche
731,output,sortie
732,offering,offre
733,staff,personnel
734,death,mort
735,described,décrit
736,word,mot
737,women,femmes
738,profits,bénéfices
739,sources,sources
740,easy,facile
741,spending,dépenses
742,at,at
743,january,janvier
744,ram,ram
745,video,vidéo
746,robert,robert
747,reagan,reagan
748,men,hommes
749,role,rôle
750,technical,technique
751,died,mort
752,seven,sept
753,image,image
754,course,cours
755,conference,conférence
756,television,télévision
757,offered,présenté
758,significant,significatif
759,sent,expédié
760,remain,rester
761,rule,règle
762,data,données
763,paid,payé
764,scheduled,prévu
765,december,décembre
766,ability,capacité
767,managers,gestionnaires
768,street,rue
769,basis,base
770,units,unités
771,side,côté
772,view,vue
773,securities,titres
774,complete,complet
775,proposal,proposition
776,food,nourriture
777,lead,conduire
778,assets,actif
779,card,carte
780,short,court
781,what,quoi
782,credit,crédit
783,doing,faire
784,world,monde
785,air,air
786,forces,forces
787,september,septembre
788,parts,parties
789,face,visage
790,office,bureau
791,question,question
792,reduce,réduire
793,now,maintenant
794,claims,prétentions
795,defense,défense
796,fire,feu
797,date,date
798,white,blanc
799,efforts,efforts
800,structure,structure
801,specific,spécifique
802,require,exiger
803,soon,bientôt
804,review,examen
805,october,octobre
806,toward,vers
807,expect,attendre
808,figures,chiffres
809,simple,simple
810,member,membre
811,dollars,dollars
812,looking,recherche
813,jobs,emplois
814,health,santé
815,rules,règles
816,works,œuvres
817,hold,tenir
818,r,r
819,gave,donné
820,necessary,nécessaire
821,getting,obtention
822,limited,limité
823,showed,montré
824,shows,spectacles
825,named,nommé
826,thing,chose
827,capabilities,capacités
828,other,autre
829,presented,présenté
830,especially,notamment
831,ever,jamais
832,requirements,exigences
833,committee,comité
834,response,réponse
835,supports,supports
836,processor,processeur
837,turn,tour
838,volume,volume
839,priced,cher
840,bond,lien
841,models,modèles
842,insurance,assurance
843,commission,commission
844,requires,exige
845,won,won
846,multiple,multiple
847,separate,séparé
848,started,commencé
849,board,conseil
850,since,depuis
851,via,via
852,book,livre
853,supply,alimentation
854,troops,troupes
855,two,deux
856,decided,décidé
857,created,établi
858,continued,continue
859,tests,essais
860,let,laisser
861,begin,commencer
862,longer,plus
863,hit,frapper
864,house,maison
865,losses,pertes
866,august,août
867,buying,achat
868,command,commandement
869,directly,directement
870,fiscal,fiscal
871,x,x
872,develop,développer
873,thought,pensée
874,account,compte
875,p,p
876,complex,complexe
877,takes,prend
878,produce,produire
879,try,essayer
880,filed,déposée
881,association,association
882,wanted,voulu
883,discussed,discuté
884,wants,veut
885,document,document
886,below,dessous
887,behind,derrière
888,even,même
889,businesses,entreprises
890,james,jacques
891,shown,montré
892,training,formation
893,department,département
894,drives,lecteurs
895,firms,entreprises
896,growing,croissant
897,last,dernier
898,analyst,analyste
899,team,équipe
900,play,jouer
901,press,presse
902,why,pourquoi
903,programming,programmation
904,investigation,enquête
905,union,union
906,trial,procès
907,reason,raison
908,kind,genre
909,feature,caractéristique
910,light,lumière
911,november,novembre
912,democratic,démocratique
913,manager,directeur
914,numbers,numéros
915,turned,tourné
916,purchase,achat
917,futures,terme
918,seems,semble
919,los,los
920,storage,stockage
921,french,français
922,gain,gain
923,planned,prévu
924,party,partie
925,inflation,inflation
926,read,lire
927,hand,main
928,built,construit
929,industrial,industriel
930,david,david
931,strategy,stratégie
932,authorities,autorités
933,expects,attend
934,committee,comité
935,distribution,distribution
936,runs,pistes
937,address,adresse
938,cars,voitures
939,particularly,particulièrement
940,individual,individuel
941,center,centre
942,legal,juridique
943,documents,documents
944,brought,apporté
945,effective,efficace
946,leave,laisser
947,newspaper,journal
948,quickly,rapidement
949,notes,notes
950,written,écrit
951,build,construire
952,chicago,chicago
953,western,occidental
954,yield,rendement
955,management,gestion
956,reduced,réduit
957,bring,apporter
958,independent,indépendant
959,loans,prêts
960,moved,déplacé
961,phone,téléphone
962,remains,restes
963,transfer,transfert
964,approved,approuvé
965,simply,simplement
966,nine,neuf
967,feel,sentir
968,previously,précédemment
969,dropped,chuté
970,center,centre
971,failed,manqué
972,decline,déclin
973,worth,valeur
974,benefits,avantages
975,device,dispositif
976,matter,question
977,county,comté
978,human,humain
979,electronic,électronique
980,add,ajouter
981,condition,état
982,direct,direct
983,aid,aide
984,worked,travaillé
985,dec,décembre
986,m,m
987,election,élection
988,february,février
989,original,original
990,under,sous
991,also,aussi
992,step,étape
993,jose,jose
994,anything,rien
995,letter,lettre
996,michael,michael
997,idea,idée
998,message,message
999,history,histoire
1000,b,b
1001,st,st
1002,themselves,se
1003,allowed,permis
1004,effects,effets
1005,introduced,introduit
1006,term,terme
1007,competition,compétition
1008,drop,tomber
1009,caused,causé
1010,front,avant
1011,capacity,capacité
1012,according,selon
1013,stake,pieu
1014,solution,solution
1015,charged,chargé
1016,cause,cause
1017,pcs,pc
1018,box,boîte
1019,issued,publié
1020,evidence,preuve
1021,sure,sûr
1022,division,division
1023,beginning,début
1024,helped,aidé
1025,region,région
1026,spent,dépensé
1027,room,salle
1028,advantage,avantage
1029,another,autre
1030,planning,planification
1031,testing,essai
1032,increases,augmente
1033,william,william
1034,fund,fonds
1035,instead,plutôt
1036,canada,canada
1037,particular,particulier
1038,produced,produit
1039,overall,global
1040,receive,recevoir
1041,activity,activité
1042,wife,femme
1043,nothing,rien
1044,whole,ensemble
1045,l,l
1046,mode,mode
1047,dollars,dollars
1048,care,soins
1049,tried,éprouvé
1050,its,son
1051,iraq,irak
1052,lotus,lotus
1053,flow,couler
1054,fast,rapide
1055,treasury,trésor
1056,chip,puce
1057,usually,habituellement
1058,serious,grave
1059,values,valeurs
1060,types,types
1061,devices,dispositifs
1062,page,page
1063,consider,envisager
1064,customer,client
1065,holding,tenue
1066,construction,construction
1067,tool,outil
1068,images,images
1069,powerful,puissant
1070,opposition,opposition
1071,wall,mur
1072,minister,ministre
1073,minister,ministre
1074,initial,initiale
1075,fuel,carburant
1076,coming,arrivant
1077,americans,américains
1078,desktop,bureau
1079,developers,développeurs
1080,window,fenêtre
1081,contracts,contrats
1082,heavy,lourd
1083,attorney,mandataire
1084,rest,reste
1085,bad,mauvais
1086,george,george
1087,game,jeu
1088,executives,cadres
1089,versions,versions
1090,y,y
1091,bought,acheté
1092,gives,donne
1093,changed,modifié
1094,survey,enquête
1095,session,session
1096,consumer,consommateur
1097,domestic,domestique
1098,israel,israël
1099,monitor,moniteur
1100,related,connexe
1101,jones,jones
1102,facilities,aménagements
1103,mail,courrier
1104,stores,magasins
1105,situation,situation
1106,followed,suivi
1107,methods,méthodes
1108,coal,charbon
1109,variety,variété
1110,determine,déterminer
1111,despite,malgré
1112,china,chine
1113,hope,espérer
1114,utility,utilitaire
1115,option,option
1116,judge,juge
1117,sun,soleil
1118,summer,été
1119,choice,choix
1120,records,archives
1121,risk,risque
1122,resources,ressources
1123,manufacturing,fabrication
1124,raised,relevé
1125,strike,grève
1126,store,magasin
1127,published,publié
1128,section,section
1129,network,réseau
1130,popular,populaire
1131,attack,attaque
1132,seeking,recherche
1133,subject,sujet
1134,met,rencontré
1135,projects,projets
1136,raise,augmenter
1137,e,e
1138,services,services
1139,generally,généralement
1140,primary,primaire
1141,information,informations
1142,property,propriété
1143,organization,organisation
1144,signed,signé
1145,orders,ordres
1146,packages,forfaits
1147,ahead,devant
1148,impact,impact
1149,developing,développement
1150,young,jeune
1151,measure,mesurer
1152,live,vivre
1153,obtained,obtenu
1154,radio,radio
1155,print,imprimer
1156,entire,tout
1157,experience,expérience
1158,slightly,légèrement
1159,attempt,tentative
1160,de,de
1161,site,site
1162,internal,interne
1163,ways,moyens
1164,o,o
1165,morning,matin
1166,dukakis,dukakis
1167,request,demande
1168,joint,joint
1169,improve,améliorer
1170,plants,plantes
1171,richard,richard
1172,community,communauté
1173,democrats,démocrates
1174,person,personne
1175,deficit,déficit
1176,resolution,résolution
1177,success,succès
1178,expensive,cher
1179,weapons,armes
1180,appear,apparaître
1181,white,blanc
1182,activities,activités
1183,lets,laisse
1184,woman,femme
1185,completed,terminé
1186,land,terre
1187,determined,déterminé
1188,sub,sous
1189,republican,républicain
1190,suit,costume
1191,more,plus
1192,installed,installé
1193,immediately,immédiatement
1194,acquisition,acquisition
1195,improved,amélioré
1196,hp,hp
1197,bus,bus
1198,gains,gains
1199,ground,sol
1200,stop,arrêtez
1201,securities,titres
1202,army,armée
1203,patients,patients
1204,printers,imprimantes
1205,increasing,croissant
1206,media,médias
1207,mean,signifier
1208,expansion,expansion
1209,lack,manque
1210,sen,sen
1211,fourth,quatrième
1212,angeles,angeles
1213,damage,dommage
1214,shot,coup
1215,saw,scie
1216,france,france
1217,netware,netware
1218,menu,menu
1219,noted,noté
1220,write,écrire
1221,safety,sécurité
1222,police,police
1223,shareholders,actionnaires
1224,each,chaque
1225,protection,protection
1226,cards,cartes
1227,figure,figure
1228,peace,paix
1229,town,ville
1230,research,recherche
1231,oct,octobre
1232,technology,technologie
1233,dealers,concessionnaires
1234,age,âge
1235,about,sur
1236,then,puis
1237,prison,prison
1238,class,classe
1239,sector,secteur
1240,details,détails
1241,refused,refusé
1242,material,matériel
1243,interview,interview
1244,opened,ouvert
1245,ruling,décision
1246,forced,forcé
1247,check,vérifier
1248,quite,assez
1249,treatment,traitement
1250,table,table
1251,approval,approbation
1252,eastern,est
1253,manufacturers,fabricants
1254,elections,élections
1255,talk,parler
1256,integrated,intégré
1257,majority,majorité
1258,tell,dire
1259,poor,pauvres
1260,jan,jan
1261,gorbachev,gorbatchev
1262,host,hôte
1263,handle,manipuler
1264,appears,apparaît
1265,ltd,ltd
1266,engineering,ingénierie
1267,canadian,canadien
1268,administration,administration
1269,taxes,taxes
1270,ordered,ordonné
1271,communications,communications
1272,medical,médical
1273,tokyo,tokyo
1274,presidential,présidentiel
1275,easily,facilement
1276,paul,paul
1277,wide,large
1278,cable,câble
1279,agencies,agences
1280,voice,voix
1281,heat,chaleur
1282,film,film
1283,send,envoyer
1284,components,composants
1285,comments,commentaires
1286,defense,défense
1287,true,vrai
1288,useful,utile
1289,attention,attention
1290,secretary,secrétaire
1291,soldiers,militaires
1292,cuts,coupes
1293,search,recherche
1294,port,port
1295,cover,couverture
1296,maker,fabricant
1297,intel,intel
1298,contains,contient
1299,task,tâche
1300,h,h
1301,normal,normal
1302,story,histoire
1303,act,acte
1304,materials,matériels
1305,composite,composite
1306,benefit,avantage
1307,established,établi
1308,station,station
1309,measures,mesures
1310,thousands,milliers
1311,active,actif
1312,relatively,relativement
1313,supported,soutenu
1314,providing,fournir
1315,format,format
1316,hospital,hôpital
1317,slow,lent
1318,plus,plus
1319,news,nouvelles
1320,loan,prêt
1321,boston,boston
1322,computing,informatique
1323,automatically,automatiquement
1324,body,corps
1325,win,victoire
1326,arrested,arrêté
1327,identified,identifié
1328,advanced,avancé
1329,accounts,comptes
1330,client,client
1331,surface,surface
1332,suggested,suggéré
1333,feet,pieds
1334,target,cible
1335,dow,dow
1336,editor,éditeur
1337,appeared,apparu
1338,officers,officiers
1339,hopes,espoirs
1340,digital,numérique
1341,giving,donnant
1342,upgrade,améliorer
1343,panel,panneau
1344,reach,atteindre
1345,temperature,température
1346,nation,nation
1347,among,entre
1348,homes,maisons
1349,payments,paiements
1350,carried,réalisé
1351,bit,bit
1352,names,noms
1353,fonts,polices
1354,critical,critique
1355,estate,biens
1356,finance,financement
1357,facility,facilité
1358,hearing,audition
1359,visit,visite
1360,indicated,indiqué
1361,traders,commerçants
1362,traffic,trafic
1363,council,conseil
1364,dec,décembre
1365,gold,or
1366,recovery,récupération
1367,legislation,législation
1368,goes,va
1369,save,sauver
1370,seem,paraître
1371,tv,tv
1372,reporters,journalistes
1373,limit,limite
1374,sql,sql
1375,natural,naturel
1376,currency,monnaie
1377,v,v
1378,pounds,livres
1379,negotiations,négociations
1380,maximum,maximum
1381,plane,plan
1382,cell,cellule
1383,announcement,annonce
1384,sup,souper
1385,season,saison
1386,estimates,estimations
1387,district,quartier
1388,successful,réussi
1389,stage,étape
1390,object,objet
1391,sept,septembre
1392,believed,cru
1393,distributed,distribué
1394,chemical,chimique
1395,claim,revendication
1396,accounting,comptabilité
1397,smith,forgeron
1398,accused,accusé
1399,education,éducation
1400,sense,sens
1401,aug,août
1402,gulf,golfe
1403,copy,copie
1404,communist,communiste
1405,apparently,apparemment
1406,status,statut
1407,francisco,francisco
1408,techniques,techniques
1409,fields,champs
1410,regulations,règlements
1411,placed,mis
1412,fully,pleinement
1413,returned,renvoyé
1414,aircraft,avion
1415,ethernet,ethernet
1416,civil,civil
1417,pacific,pacifique
1418,army,armée
1419,judge,juge
1420,focus,foyer
1421,central,central
1422,quoted,cité
1423,tape,bande
1424,everything,tout
1425,of,de
1426,passed,passé
1427,fax,fax
1428,highly,très
1429,rep,reps
1430,extended,prolongé
1431,studies,études
1432,forms,formes
1433,stay,rester
1434,commands,commandes
1435,performed,effectué
1436,moscow,moscou
1437,savings,épargnes
1438,concerns,préoccupations
1439,labor,travail
1440,relations,rapports
1441,upon,sur
1442,dr,dr
1443,w,w
1444,architecture,architecture
1445,adding,ajoutant
1446,buyers,acheteurs
1447,offices,bureaux
1448,block,bloc
1449,avoid,éviter
1450,supreme,suprême
1451,goods,marchandises
1452,secretary,secrétaire
1453,nations,nations
1454,believes,croit
1455,war,guerre
1456,remote,éloigné
1457,plus,plus
1458,banking,bancaire
1459,policies,politiques
1460,ship,navire
1461,procedures,procédures
1462,sign,signe
1463,kept,conservé
1464,ready,prêt
1465,objects,objets
1466,transaction,transaction
1467,acquired,acquis
1468,traditional,traditionnel
1469,link,lien
1470,act,acte
1471,heart,cœur
1472,thomas,thomas
1473,denied,dénié
1474,subsidiary,filiale
1475,huge,énorme
1476,difference,différence
1477,chance,chance
1478,environmental,écologique
1479,schools,écoles
1480,users,utilisateurs
1481,institute,institut
1482,fighting,combat
1483,seek,chercher
1484,fight,lutte
1485,recession,récession
1486,outstanding,exceptionnel
1487,fair,juste
1488,vga,vga
1489,force,force
1490,adds,ajoute
1491,development,développement
1492,properties,propriétés
1493,concerned,concerné
1494,words,paroles
1495,appeal,appel
1496,regional,régional
1497,florida,floride
1498,during,pendant
1499,error,erreur
1500,settlement,règlement
1501,clients,clients
1502,laws,lois
1503,israeli,israélien
1504,flight,vol
1505,controls,contrôles
1506,competitive,compétitif
1507,appropriate,approprié
1508,factors,facteurs
1509,alternative,alternative
1510,son,fils
1511,alone,seul
1512,associated,associé
1513,security,sécurité
1514,generation,génération
1515,boards,conseils
1516,crash,fracas
1517,justice,justice
1518,big,grand
1519,failure,échec
1520,intended,prévu
1521,prepared,préparé
1522,mostly,surtout
1523,items,articles
1524,factor,facteur
1525,music,musique
1526,chips,chips
1527,allowing,permettant
1528,tested,examiné
1529,opening,ouverture
1530,claimed,revendiquée
1531,answer,réponse
1532,maintain,maintenir
1533,laser,laser
1534,delivery,livraison
1535,foreign,Étranger
1536,strength,force
1537,jackson,jackson
1538,discuss,discuter
1539,postscript,postscript
1540,servers,serveurs
1541,spend,passer
1542,gained,gagné
1543,compatible,compatible
1544,couple,couple
1545,marks,marques
1546,remained,demeuré
1547,rejected,rejeté
1548,selected,sélectionné
1549,iran,iran
1550,movement,mouvement
1551,maintenance,entretien
1552,aids,sida
1553,events,événements
1554,ford,gué
1555,venture,entreprise
1556,population,population
1557,crisis,crise
1558,business,entreprise
1559,disks,disques
1560,those,ceux
1561,border,frontière
1562,understand,comprendre
1563,responsible,responsable
1564,percentage,pourcentage
1565,continuing,continue
1566,arms,armes
1567,enter,entrer
1568,waste,déchets
1569,f,fa
1570,kuwait,koweit
1571,drugs,médicaments
1572,living,vie
1573,cells,cellules
1574,fine,amende
1575,input,contribution
1576,prime,premier
1577,publishing,édition
1578,dividend,dividende
1579,ask,demander
1580,k,k
1581,looks,regards
1582,reduction,réduction
1583,prevent,empêcher
1584,minimum,minimum
1585,reasons,raisons
1586,phase,phase
1587,event,événement
1588,accept,accepter
1589,advertising,publicité
1590,operate,fonctionner
1591,writing,écriture
1592,three,trois
1593,mass,masse
1594,article,article
1595,mexico,mexique
1596,child,enfant
1597,starting,départ
1598,listed,répertorié
1599,our,notre
1600,anyone,personne
1601,vax,vax
1602,configuration,configuration
1603,perform,effectuer
1604,connection,lien
1605,rising,hausse
1606,interested,intéressé
1607,residents,résidents
1608,modem,modem
1609,remaining,restant
1610,extra,supplémentaire
1611,merger,fusionnement
