francais,espanol
services,servicios
frais,fresco
huile,aceite
maison,casa
zone,zona
supérieur,superior
M,SR
ancien,ex
Lundi,Los Lunes
cependant,sin embargo
entre,entre
porte-parole,portavoz
conseil,consejo
déjà,ya
plus tôt,más temprano
annoncé,anunciado
standard,estándar
question,problema
taux,tarifa
Mardi,El Martes
application,aplicación
dans,en
peu,poco
économique,económico
Quand,cuándo
membres,miembro
bureau,oficina
fichiers,archivos
récent,reciente
Unis,unido
plus tard,más tarde
Mercredi,El Miércoles
mieux,mejor
Ouest,oeste
passé,pasado
Sur,en
spectacle,show
venir,ven aquí
chef,jefe
si,si
Que,que
payer,saldar
changement,cambio
savoir,saber
unité,unidad
six,seis
mettre,poner
accord,acuerdo
cents,centavos
Certains,algunos
exemple,ejemplo
Département,departamento
Jeudi,jueves
Livres,libros
dur,duro
ajoutée,adicional
Maison,casa
local,local
société de,empresa
droit,derecho
monde,mundo
droit,derecho
production,producción
Vous,usted
valeur,valor
ordre,orden
commerce,comercio
financier,financiero
possible,posible
loin,muy lejos
accès,acceso
conception,diseño
point,punto
Cependant,sin embargo
politique,político
devenir,convertirse en
caractéristiques,características
abattre,derribar
tard,tarde
Ce est,es
nouvelles,noticias
San,San
important,importante
Systèmes,Sistemas
mouvement,movimiento
directeur,director
militaire,militar
total,gran total
tribunal,corte
ici,aquí
étranger,extranjero
a commencé,comenzado
Washington,Washington
N,N
opérations,Operaciones
avenir,próximamente
meilleur,mejor
moyenne,promedio
croissance,crecimiento
impôt,impuesto
inférieur,inferior
réunion,reunión
gauche,izquierda
drive,conducir
questions,cuestiones
donner,dar
nous,nosotros
pays,país
officiel,oficial
grand,gran
en attente,en espera
exécutif,ejecutivo
niveau,nivel
général,general
investissement,inversión
Jean,Juan
Une,la
venu,venir
n'a pas,no
président,presidente
États-Unis,EE.UU.
trouver,consíguelo
moi,me
près,cerca
Juin,junio
gamme,alcance
donné,dado
interface,interfaz
Ces,estos
Banque,Banco
acheter,comprar
À,A
Japonais,japonés
réel,real
a pris,tomó
lieu,lugar
banque,banco
fabrication,fabricación
comprend,incluye
résultat,resultado
entreprise,negocios
Avec,junto Con
base de données,base de datos
modèle,modelo
rapports,relaciones
moitié,mitad
chaque,cada
points,puntos
Mars,marzo
jamais,nunca
assez,suficiente
fournit,proporciona
hier,ayer
fois,tiempo
addition,adición
Aucun,no
vie,vida
commun,común
changements,cambios
DOS,DOS
qui ne fonctionne pas,no funciona
plus,más
haut,superior
décision,decisión
comparé,comparado
probable,probable
dû,debido
période,período
ouvert,abierto
marchés,mercados
appel,apelación
capital,capital
nom,nombre
national,nacional
fermé,cerrado
récemment,recientemente
proposé,propuesto
unique,único
capable,capaz
lot,mucho
vendu,vendido
Sud,sur
paquet,paquete
test,prueba
clientèle,clientes
Britannique,británico
coupe,corte
vendre,venta
International,internacional
plein,completo
fonctionnement,operación
équipement,equipo
ordinateurs,ordenadores
index,índice
de travail,laboral
Congrès,congreso
contrat,contrato
papier,papel
ouvriers,trabajadores
vice,vicio
étude,estudio
autres,otro
Système,sistema
recherche,buscados
faible,bajo
marques,marcas
Fédéral,federal
ville,ciudad
Mai,mayo
obtenu,obtenido
famille,familia
politique,político
investisseurs,inversores
record,registro
perte,pérdida
reçu,recibido
Avril,abril
Échange,intercambio
code,código
graphique,gráfico
agence,agencia
augmenté,aumentado
directeur,director
garder,mantener
regarder,ver
souvent,a menudo
conçu,diseñado
Européen,europeo
bénéfices,ganancias
environnement,medio ambiente
Juillet,julio
emploi,empleo
troisième,tercera
eau,agua
net,neto
banques,Bancos
analystes,analistas
fort,fuerte
partie,parte
économie,economía
loin,muy lejos
dollar,dólar
pris,tomado
développé,desarrollado
continuer,continua
permettre,permitir
Microsoft,Microsoft
clé,clave
non plus,cualquiera de los dos
sécurité,seguridad
projet,proyecto
convenu,convenido
bien que,aunque
Japon,Japón
plutôt,más bien
pays,país
usine,fábrica
le long de,a lo largo de
Pomme,manzana
action,acción
Après,después
écran,pantalla
guerre,guerra
traitement,tratamiento
employés,empleados
inclus,incluido
demandé,necesario
spécial,especial
domaine,zona
énergie,energía
vieux,viejo
affaire,caso
offres,ofertas
presque,casi
semaines,semana
dette,deuda
Elle,ella
frais,fresco
Union,unión
besoins,necesidades
effet,efecto
revenu,ingresos
utilisations,usos
de nouveau,de nuevo
Ordinateur,computadora
Est,es
similaire,similar
Europe,Europa
près de,cerca
créer,crear
forme,forma
principal,principal
gratuit,libre
plus grand,mayor
retour,retorno
machine,máquina
heures,horas
encore,todavía
texte,texto
presque,casi
Tous,todos
homme,hombre
requis,necesario
matériel,equipo
privé,privado
permet,permite
assassiné,muertos
international,internacional
connu,conocido
choses,cosas
base,base
obligations,obligaciones
groupes,grupos
liste,lista
Mac,Mac
fini,terminado
moyens,medio
supplémentaire,adicional
gaz,gas
domaines,áreas
essayer,intentar
force,fuerza
ne est pas,no es
fonds,fondos
perdu,perdido
une fois,una vez
ne peut pas,no puede
serveur,servidor
Texas,Texas
OS,OS
Ville,ciudad
appels,llamadas
espace,espacio
annuel,anual
couleur,color
Dimanche,domingo
réseaux,redes
croire,creer
taille,tamaño
administration,administración
États,Unidos
fonctions,funciones
libération,liberación
entreprise,negocios
T,T
à travers,a través de
nécessaire,necesario
miles,millas
Londres,Londres
commentaire,comentario
bâtiment,edificio
vient,viene
demande,aplicación
réserves,stocks
début,comienzo
vraiment,realmente
Général,general
espèces,efectivo
campagne,campaña
tête,cabeza
enfants,niños
est allé,fue
LAN,LAN
probablement,probablemente
commercialisation,mercadeo
projet de loi,proyecto de ley
nuit,noche
Tandis que,mientras
lignes,líneas
disant,decir
bénéfice,lucro
série,serie
État,condición
potentiel,potencial
Bien que,aunque
outils,instrumentos
type,tipo
montant,cantidad
finale,final
vente,venta
Université,universidad
drogue,droga
machines,maquinaria
Nord,norte
budget,presupuesto
analyse,análisis
Mlle.,Sra.
cas,caso
Californie,California
voiture,coche
suivant,siguiente
terminé,terminado
dont,cuyo
dirigeants,liderazgo
vendeurs,vendedores
Plus,más
déclaration,declaración
II,II
bien que,aunque
certain,algunos
opération,operación
préoccupation,preocupación
fonction,función
fait,hecho
tomber,caer
air,aire
libéré,publicado
Allemand,alemán
lui-même,sí mismo
échange,intercambio
J,J
personnel,personal
quelque chose,algo
téléphone,teléfono
école,escuela
position,posición
précédent,anterior
offre,oferta
ne sera pas,no lo hará
Stock,valores
extérieur,exterior
Groupe,grupo
droits,derechos
niveaux,niveles
Si,si
Macintosh,Macintosh
impliqué,implicado
toujours,siempre
exposition,exposición
source,fuente
méthode,método
leader,líder
langue,idioma
pourparlers,negociaciones
termes,condiciones
qualité,calidad
Sénat,senado
Beaucoup,tanto
communications,comunicaciones
officier,oficial
estimée,estimado
Unix,Unix
Ré,re
LED,LED
charger,carga
noir,negro
Allemagne,Alemania
Logiciel,software
supérieur,superior
atteint,afectado
ensemble,juntos
huit,ocho
vente,venta
augmenter,aumentar
Amérique,América
difficile,desafiante
grand,gran
normes,normas
imprimeur,impresora
ayant,con
Par,por
vu,visto
divers,vario
vitesse,velocidad
considéré,considerado
Première,primero
diminué,disminuido
dernier,último
central,central
Californie,California
nucléaire,nuclear
actuellement,Actualmente
vote,voto
existant,existente
dessus,arriba
yen,yen
Son,su
commercial,representante de ventas
clair,claro
étudiants,estudiantes
Tribunal,corte
Service,servicio
revenu,ingresos
Samedi,en Sábado
pression,presión
effort,esfuerzo
prise,toma
à condition que,siempre que
présent,presente
rencontrer,conocer
conditions,condiciones
approche,enfoque
sortie,salida
offre,oferta
personnel,personal
mort,muerte
décrit,descrito
mot,palabra
femmes,mujeres
bénéfices,ganancias
sources,fuentes
facile,fácil
dépenses,gasto
AT,AT
Janvier,enero
RAM,RAM
vidéo,vídeo
Robert,Robert
Reagan,Reagan
hommes,hombres
rôle,papel
technique,técnica
mort,muerte
sept,siete
image,imagen
cours,precio
Mme.,Sra.
conférence,conferencia
télévision,TV
présenté,ofrecido
significatif,significativo
expédié,enviado
rester,quedarse
règle,regla
Données,datos
payé,pagado
prévu,planificado
Décembre,diciembre
capacité,capacidad
gestionnaires,administradores
Rue,calle
Les deux,ambos
base,base
unités,unidades
côté,lado
vue,vista
titres,valores
complet,no hay vacantes
proposition,propuesta
nourriture,comida
conduire,conducir
actif,activo
carte,mapa
court,corto
Quoi,qué
Je suis,yo soy
crédit,crédito
faire,hacer
Monde,mundo
Air,aire
forces,fuerzas
Septembre,septiembre
parties,regiones
visage,cara
Bureau,oficina
question,problema
réduire,reducir
Maintenant,Ahora Mismo
prétentions,sueldo esperado
défense,defensa
feu,fuego
date,fecha
Blanc,blanquecino
efforts,esfuerzos
structure,estructura
spécifique,específico
exiger,exigir
bientôt,pronto
examen,revisión
Octobre,octubre
vers,a
attendre,aférrate
chiffres,estadística
simple,simple
membre,miembro
Dollars,Dólares
recherche,buscados
emplois,empleos
santé,salud
règles,reglas
œuvres,obras
tenir,mantener
ne peut pas,no puede
R,R
donné,dado
nécessaire,necesario
obtention,obtención
limité,limitado
montré,se muestra
spectacles,monumentos
nommé,nombrado
chose,cosa
capacités,capacidad
Autre,otro
présenté,ofrecido
notamment,especialmente
jamais,nunca
exigences,requisitos
comité,comité
réponse,responder
supports,soportes
processeur,procesador
tour,torre
volume,volumen
cher,caro
lien,enlace
modèles,modelos
assurance,seguro
Commission,comisión
exige,requiere
won,won
multiple,múltiple
séparé,separado
commencé,comenzado
Conseil,consejo
Depuis,Desde Entonces
via,vía
livre,libro
les options,Opciones
alimentation,suministro
troupes,tropas
Deux,dos
décidé,decidido
établi,establecido
continue,continúa
essais,ensayos
laisser,dejar
commencer,comenzar
est devenu,se convirtió en
plus,más
frapper,golpear
maison,casa
pertes,pérdidas
de premier plan,líder
Août,agosto
achat,compra
commandement,comando
directement,directamente
nation de,nación
fiscal,impuesto
X,X
développer,desarrollar
pensée,pensamiento
compte,cuenta
P,P
complexe,consciente de sí mismo
prend,toma
produire,produce
essayer,intentar
déposée,archivado
Association,asociación
voulu,deseado
discuté,discutido
veut,quiere
document,documento
dessous,abajo
derrière,detrás
Même,incluso
entreprises,negocios
Jacques,Jacques
montré,se muestra
formation,entrenamiento
département,departamento
lecteurs,Lectores
entreprises,negocios
croissant,creciente
Dernier,último
analyste,analista
équipe,equipo
jouer,jugar
presse,prensa
pourquoi,para qué
programmation,programación
enquête,investigación
union,unión
procès,ensayo
raison,razón
Royaume-Uni,Reino Unido
genre,género
caractéristique,característica
lumière,luz
Novembre,noviembre
Démocratique,democrático
Directeur,director
numéros,números
tourné,convertido
achat,compra
terme,plazo
semble,parece
Los,Los
stockage,almacenamiento
Français,francés
gain,ganancia
prévu,planificado
Partie,parte
inflation,inflación
lire,leer
main,mano
construit,construido
industriel,industrial
David,David
stratégie,estrategia
autorités,autoridades
attend,esperado
Comité,comité
distribution,distribución
pistes,pistas
adresse,dirección
voitures,coche
particulièrement,particularmente
individuel,solo
centre,centro
juridique,legal
documents,papeles
p.m.,p.m.
apporté,traído
efficace,eficaz
laisser,dejar
journal,revista
rapidement,rápidamente
notes,Notas
écrit,escrito
construire,construir
Chicago,Chicago
ce est,es
Occidental,occidental
rendement,rendimiento
Gestion,administración
réduit,reducido
apporter,traer
indépendant,independiente
prêts,préstamos
déplacé,desplazado
téléphone,teléfono
restes,restos
transfert,transferencia
approuvé,aprobado
simplement,simplemente
neuf,nueve
sentir,sentir
précédemment,previamente
chuté,caído
Centre,centro
manqué,perdido
déclin,disminución
plus grand,mayor
valeur,valor
de base,básico
avantages,Beneficios
dispositif,dispositivo
question,problema
Comté,condado
humain,humano
électronique,electrónico
ajouter,añadir
état,condición
direct,directo
aide,ayuda
travaillé,trabajado
Décembre,diciembre
M,SR
élection,elección
Février,febrero
original,original
Sous,bajo
Aussi,también
étape,paso
Jose,Jose
rien,nada
lettre,carta
Michael,Michael
idée,idea
message,mensaje
histoire,historia
B,B
St,St
se,sí mismo
permis,permitido
effets,efectos
introduit,introducido
terme,plazo
compétition,competencia
tomber,caer
causé,causado
avant,antes
capacité,capacidad
Selon,De Acuerdo A
pieu,estaca
solution,solución
chargé,cargado
cause,causa
PC,ordenador personal
plus grand,mayor
boîte,caja
publié,emitido
preuve,prueba
sûr,seguro
division,división
début,comienzo
postes de travail,estaciones de trabajo
aidé,ayudado
région,zona
dépensé,gastado
salle,habitación
avantage,beneficio
vous êtes,eres
Autre,otro
planification,planificación
essai,ensayo
augmente,aumenta
William,William
fonds,fondos
plutôt,más bien
Canada,Canadá
particulier,particular
produit,producto
global,total
recevoir,recibir
activité,actividad
femme,mujer
rien,nada
ensemble,juntos
procès-verbal,registro
L,L
mode,modo
dollars,dólares
soins,cuidado
éprouvé,experimentado
Son,su
Irak,Irak
Lotus,loto
couler,fluir
rapide,rápido
Trésor,tesoro
puce,chip
habituellement,en general
grave,grave
valeurs,valores
types,tipos
dispositifs,dispositivos
page,página
envisager,considerar
client,cliente
tenue,tenencia
construction,edificio
outil,herramienta
images,imágenes
puissant,potente
opposition,oposición
Mur,pared
Ministre,ministro
ministre,ministro
initiale,inicial del segundo nombre
carburant,combustible
arrivant,que viene
Américains,americano
bureau,oficina
développeurs,Desarrolladores
fenêtre,ventana
contrats,contratos
lourd,pesado
mandataire,abogado
reste,resto
mauvais,malo
George,George
jeu,juego
cadres,personal dirigente
versions,versiones
Y,Y
acheté,comprado
IBM,IBM
donne,da
modifié,modificado
enquête,investigación
session,sesión
consommateur,consumidor
domestique,doméstico
Israël,Israel
moniteur,monitor
connexe,conexo
Jones,Jones
aménagements,comodidades
courrier,correo
magasins,tiendas
situation,situación
suivi,seguir
méthodes,métodos
charbon,carbón
variété,variedad
déterminer,determinar
malgré,a pesar de
année de,año
Chine,China
ne était pas,no era
espérer,esperanza
utilitaire,utilidad
option,opción
poste de travail,puesto de trabajo
juge,juez
Soleil,sol
plus petit,menor
été,verano
choix,elección
archives,archivo
risque,riesgo
ressources,recursos
fabrication,fabricación
en mouvement,movimiento
relevé,declaración
des questions,preguntas
plus grande,mayor
grève,huelga
magasin,tienda
publié,emitido
plus vite,más rápido
section,sección
Réseau,red
populaire,popular
attaque,ataque
recherche,buscados
sujet,tema
rencontré,conocido
projets,proyectos
augmenter,aumentar
E,E
Services,servicios
généralement,en general
primaire,primario
Informations,información
propriété,propiedad
organisation,organización
signé,firmado
ordres,pedidos
forfaits,paquetes
devant,en frente de
impact,impacto
développement,desarrollo
jeune,joven
mesurer,medir
vivre,vivir
obtenu,obtenido
radio,radio
imprimer,imprimir
tout,todos
expérience,experiencia
légèrement,ligeramente
tentative,intento
de,desde
site,sitio
interne,interna
moyens,medio
O,O
matin,mañana
ne sont pas,no son
Dukakis,Dukakis
demande,aplicación
joint,articulación
améliorer,mejorar
plantes,plantas
Richard,Richard
communauté,comunidad
Démocrates,demócratas
personne,nadie
déficit,déficit
résolution,resolución
succès,éxito
cher,caro
armes,armas
apparaître,aparecer
blanc,blanquecino
activités,actividades
laisse,correa
femme,mujer
terminé,terminado
terre,tierra
déterminé,determinado
sous,bajo
Républicain,republicano
costume,traje
Plus,más
installé,instalado
immédiatement,inmediatamente
acquisition,adquisición
amélioré,mejorado
HP,HP
bus,autobús
gains,ganancias
lui-même,sí mismo
sol,suelo
Arrêtez,Deténgase
Titres,valores
armée,ejército
patients,pacientes
imprimantes,impresoras
croissant,creciente
médias,medios de comunicación
signifier,significar
expansion,expansión
manque,falta
Sen,Sen
quatrième,cuarto
Angeles,Ángeles
dommage,demasiado
coup,golpe
scie,sierra
France,Francia
NetWare,NetWare
menu,menú
noté,grabado
écrire,pedir por escrito
Parce que,porque
sécurité,seguridad
Police,policía
actionnaires,accionistas
Chaque,cada
protection,protección
cartes,Tarjetas
figure,figura
paix,paz
ville,ciudad
Recherche,buscados
Octobre,octubre
Technologie,tecnología
concessionnaires,distribuidores
âge,edad
Sur,en
Puis,entonces
prison,prisión
classe,clase
secteur,sector
du matin,mañana
ne serait pas,no lo haría
détails,detalles
refusé,negado
matériel,equipo
interview,entrevista
ouvert,abierto
décision,decisión
forcé,forzado
vérifier,chequeo
en fait,de hecho
assez,suficiente
traitement,tratamiento
les parties,las partes
table,mesa
approbation,aprobación
Est,es
fabricants,Fabricantes
élections,elecciones
parler,hablar
intégré,integrado
majorité,mayoría
ne pouvait pas,no podía
dire,decir
pauvres,pobre
Jan,enero
Gorbatchev,Gorbachov
hôte,anfitrión
manipuler,manejar
apparaît,aparece
Ltd,Ltd
ingénierie,ingeniería
Canadien,canadiense
Administration,administración
il ya,ahi esta
taxes,impuestos
ordonné,ordenado
Communications,Comunicaciones
médical,médico
Tokyo,Tokio
présidentiel,presidencial
facilement,fácilmente
Paul,Paul
large,grande
câble,cable
agences,agencias
voix,voz
chaleur,calor
Ce est,es
film,película
envoyer,enviar
composants,componentes
commentaires,Comentarios
Défense,defensa
vrai,real
1-2-3,02/01/03
utile,útil
attention,cuidado
Secrétaire,secretario
militaires,militar
coupes,recortes
recherche,buscados
port,puerto
couverture,cubierta
fabricant,fabricante
Intel,Intel
contient,contiene
tâche,tarea
H,H
normal,normal
histoire,historia
Acte,acto
matériels,materiales
composite,compuesto
avantage,beneficio
établi,establecido
station,estación
mesures,pasos
milliers,miles
actif,activo
relativement,relativamente
soutenu,apoyado
fournir,proporcionar
format,formato
hôpital,hospital
lent,lento
plus,más
Nouvelles,noticias
prêt,préstamo
Boston,Boston
informatique,tecnologías de la información
automatiquement,automáticamente
corps,cuerpo
victoire,victoria
arrêté,detenido
identifié,identificado
avancé,avanzado
comptes,cuentas
client,cliente
à long terme,largo
nous sommes,somos
surface,superficie
suggéré,sugerido
pieds,pies
cible,objetivo
Dow,Dow
éditeur,editor
apparu,aparecido
officiers,oficiales
espoirs,esperanzas
Numérique,digital
donnant,dando
améliorer,mejorar
panneau,panel
atteindre,llegar
température,temperatura
nation,nación
Entre,entre
maisons,viviendas
paiements,Pagos
réalisé,ejecutado
bit,bit
noms,nombres
polices,fuente
critique,crítico
biens,propiedad
financement,financiamiento
facilité,facilidad
audition,audición
tous les jours,cada día
visite,visita
indiqué,indicado
commerçants,comerciantes
trafic,tráfico
Conseil,consejo
Décembre,diciembre
or,oro
récupération,recuperación
législation,legislación
va,voluntad
prendre le contrôle,tomar el control
sauver,guardar
paraître,aparecer
TV,TV
journalistes,periodistas
limite,límite
SQL,SQL
naturel,natural
monnaie,moneda
unité centrale,ordenador central
V,V
livres,libros
négociations,negociaciones
maximum,máximo
plan,plan
cellule,célula
porte-parole,portavoz
annonce,anuncio
souper,cena
saison,temporada
estimations,estimaciones
Quartier,barrio
réussi,exitoso
étape,paso
objet,objeto
Septembre,septiembre
cru,crudo
distribué,repartido
chimique,químico
revendication,reclamación
plus facile,más fácil
comptabilité,contabilidad
Forgeron,herrero
accusé,acusado
éducation,educación
Grande-Bretagne,Gran Bretaña
sens,significado
Août,agosto
Père Noël,Papá Noel
Golfe,golfo
copie,copia
Communiste,comunista
apparemment,aparentemente
statut,estado
Francisco,Francisco
vente au détail,venta al por menor
techniques,técnico
ils sont,ellos son
champs,campos
règlements,reglamentos
mis,colocado
pleinement,completamente
renvoyé,devuelto
avion,avión
Ethernet,Ethernet
civil,civil
Pacifique,Pacífico
Armée,ejército
Juge,juez
foyer,casa
Central,central
cité,ciudad
bande,tira
tout,todos
De,desde
passé,pasado
fax,fax
très,muy
à l'intérieur,dentro
Reps,Rep
prolongé,extendido
études,estudios
formes,formas
rester,quedarse
commandes,comandos
effectué,realizado
Moscou,Moscú
épargnes,ahorros
préoccupations,preocupaciones
travail,laboral
rapports,relaciones
sur,en
Dr,Dr
W,W
architecture,arquitectura
ajoutant,añadiendo
acheteurs,Los compradores
bureaux,oficinas
bloc,bloque
éviter,evitar
Suprême,supremo
marchandises,bienes
secrétaire,secretario
tout au long de,a lo largo de
nations,naciones
croit,cree
Guerre,guerra
éloigné,remoto
Plus,más
bancaire,banca
politiques,políticas
navire,barco
procédures,actas
signe,signo
conservé,en conserva
prêt,préstamo
objets,artículos
transaction,transacción
acquis,adquirido
traditionnel,tradicional
lien,enlace
acte,acto
cœur,corazón
Thomas,Thomas
dénié,negado
filiale,filial
énorme,enorme
différence,diferencia
chance,oportunidad
écologique,ecológico
écoles,escuelas
Utilisateurs,Usuarios
Institut,instituto
combat,lucha
chercher,buscar
lutte,lucha
récession,recesión
exceptionnel,excepcional
juste,derecho
VGA,VGA
Force,fuerza
n'a pas,no
ajoute,adicional
Développement,desarrollo
propriétés,propiedades
concerné,preocupado
paroles,letras
appel,apelación
régional,regional
Floride,Florida
Pendant,para
erreur,error
règlement,asentamiento
clients,cliente
lois,leyes
Israélien,israelí
vol,vuelo
contrôles,controles
compétitif,competitivo
approprié,apropiado
Je ne ai,Tengo
facteurs,factores
alternative,alternativa
fils,hijo
seul,solo
En attendant,pendiente
associé,asociado
Sécurité,seguridad
génération,generación
conseils,asesoramiento
fracas,choque
Justice,justicia
Grand,gran
échec,fracaso
prévu,planificado
préparé,preparado
surtout,principalmente
articles,bienes
gouvernement de,gobierno
facteur,factor
musique,música
chips,patatas fritas
permettant,a
au-delà,más allá
examiné,examinado
ouverture,apertura
revendiquée,reclamado
réponse,responder
maintenir,mantener
laser,láser
livraison,envío
les sites,sitios
Étranger,extranjero
force,fuerza
Jackson,Jackson
discuter,discutir
PostScript,PostScript
serveurs,servidores
passer,ir
gagné,won
compatible,compatible
couple,pareja
marques,marcas
demeuré,permanecido
rejeté,rechazado
sélectionné,seleccionado
Iran,Irán
mouvement,movimiento
entretien,mantenimiento
SIDA,SIDA
événements,eventos
Gué,vado
entreprise,negocios
population,población
crise,crisis
Entreprise,negocios
disques,discos
Ceux,aquellos
frontière,frontera
comprendre,descifrar
responsable,responsable
pourcentage,porcentaje
continue,continúa
armes,armas
entrer,entrar
déchets,residuos
Fa,fa
Koweit,Kuwait
médicaments,farmacéuticos
vie,vida
cellules,células
amende,multa
contribution,contribución
premier,primero
en grande partie,en gran parte
édition,edición
dividende,dividendo
demander,preguntar
K,K
regards,miradas
réduction,reducción
empêcher,evitar
le plus haut,más alto
minimum,mínimo
quelqu'un,alguien
raisons,razones
phase,fase
événement,evento
accepter,aceptar
publicité,publicidad
fonctionner,carrera
écriture,escritura
Trois,tres
Masse,masa
article,artículo
Mexique,México
enfant,niño
départ,salida
répertorié,enumerada
Notre,nuestro
Pays,país
personne,nadie
VAX,VAX
configuration,configuración
effectuer,llevar a cabo
lien,enlace
hausse,aumentar
intéressé,interesado
résidents,residentes
modem,módem
restant,restante
supplémentaire,adicional
fusionnement,fusión
en propriété,owned
villes,pueblos
autre,otro
Chinois,chino
départ,salida
Plusieurs,varios
Tel,tal
pause,pausa
Novell,Novell
objectif,objetivo
clavier,teclado
relié,unido
parallèle,paralelo
parfois,a veces
bataille,batalla
écrit,escrito
son,su
Arabe,árabe
Parc,parque
discours,discurso
il est,ahi esta
administrateurs,administradores
capacité,capacidad
mort,muerte
Hong,Hong
formé,formado
commission,comisión
caractère,personaje
tableur,hoja de cálculo
suis,soy
porter,desgaste
ensembles,juegos
provisions,suministros
heure,tiempo
éléments,artículos
weekend,fin de semana
Malgré,A Pesar De
Irakien,iraquí
jury,jurado
pages,páginas
inchangé,sin alterar
poste,posición
externe,externo
conducteur,conductor
Agence,agencia
Novembre,noviembre
souris,ratón
Presse,prensa
combiné,conjunto
exemple,ejemplo
peut-être,puede ser
équilibre,equilibrio
utilitaires,Utilidades
exécution,ejecución
ceux,aquellos
installation,instalación
créer,crear
contrôleur,controlador
décideurs,fabricantes
Terminal,terminal
Marine,marina
occasion,ocasión
mal,mal
des centaines,cientos
Pas,no
produit,producto
progrès,progreso
processus,proceso
personnel,personal
supporter,soportar
intérêts,intereses
sauf,excepto
interrupteur,interruptor
piste,pista
magazine,revista
billets,billetes
